Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	m_D->B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
19	 1.24543	 0.94617	 1.11260	 1.48099	 1.23427	 1.38588	 1.88264	 0.06007	 0.08881	 0.65710	21.02831	-1343.680901	-1402248.600213	58567.698784
20	 1.19979	 0.98326	 1.16421	 1.58671	 1.18607	 1.41007	 1.88264	 0.06007	 0.08881	 0.65710	21.25535	-1343.630515	-1402207.531072	58577.016195
21	 1.16180	 0.98641	 1.13239	 1.68230	 1.18986	 1.41459	 2.01924	 0.06026	 0.08909	 0.69306	20.68114	-1344.014533	-1402171.692362	58157.159856
22	 1.22560	 0.98970	 1.09789	 1.68792	 1.25990	 1.41931	 2.02599	 0.06046	 0.09694	 0.69538	20.19888	-1343.855876	-1402113.534357	58257.658490
23	 1.27318	 1.02739	 1.13499	 1.76738	 1.23005	 1.41931	 2.09268	 0.06046	 0.09694	 0.69538	19.84297	-1344.005291	-1402159.083554	58153.792390
24	 1.22111	 0.99473	 1.16515	 1.76738	 1.28056	 1.47949	 2.21036	 0.06046	 0.09694	 0.72343	20.52064	-1344.296622	-1402079.668337	57783.046061
25	 1.27623	 1.02622	 1.23316	 1.86563	 1.28609	 1.48587	 2.21989	 0.06072	 0.09736	 0.72655	20.14304	-1344.287704	-1402085.430232	57797.726144
26	 1.32708	 1.08540	 1.27396	 1.95987	 1.25314	 1.55321	 2.22582	 0.06662	 0.09762	 0.72849	20.00796	-1344.240231	-1402017.769525	57777.538699
27	 1.33042	 1.13532	 1.27716	 2.01331	 1.25629	 1.55711	 2.34675	 0.06679	 0.09787	 0.73033	20.42201	-1344.524150	-1402057.083174	57532.932710
28	 1.34880	 1.08926	 1.22742	 2.01331	 1.25629	 1.60308	 2.34675	 0.06679	 0.09787	 0.73033	20.98398	-1344.538215	-1402096.814033	57558.599113
29	 1.35410	 1.05494	 1.23225	 2.02123	 1.26124	 1.60939	 2.44403	 0.06705	 0.09825	 0.73320	21.31965	-1344.761159	-1402066.468276	57305.309541
30	 1.33457	 1.11659	 1.17597	 2.02756	 1.30643	 1.61443	 2.52846	 0.06726	 0.09856	 0.75079	20.77838	-1344.809555	-1402013.814192	57204.258977
31	 1.29913	 1.18756	 1.14527	 2.03043	 1.24079	 1.71095	 2.60353	 0.07067	 0.09870	 0.75837	20.49381	-1344.879705	-1401963.224707	57083.519553
32	 1.29913	 1.22778	 1.19188	 2.03043	 1.24079	 1.71095	 2.60353	 0.07868	 0.10717	 0.75837	20.08782	-1345.193505	-1402011.367500	56817.862965
33	 1.29913	 1.22778	 1.12152	 2.11957	 1.19803	 1.71095	 2.60353	 0.07868	 0.11047	 0.75837	20.54446	-1345.092107	-1401976.320510	56884.213481
34	 1.34995	 1.28306	 1.16744	 2.19051	 1.26811	 1.71737	 2.61330	 0.07897	 0.11089	 0.76122	19.95319	-1345.082417	-1401989.274662	56906.857513
35	 1.32029	 1.23408	 1.25398	 2.19891	 1.27298	 1.81519	 2.62332	 0.07928	 0.11131	 0.76414	20.24688	-1345.076255	-1401947.200442	56870.945676
36	 1.37268	 1.18695	 1.25646	 2.27310	 1.24845	 1.81878	 2.79599	 0.07943	 0.11153	 0.76565	20.79323	-1345.239166	-1401956.468736	56717.302847
37	 1.31909	 1.16265	 1.32163	 2.27310	 1.24845	 1.81878	 2.94500	 0.07943	 0.11153	 0.76565	21.22965	-1345.278878	-1401950.857898	56671.979590
38	 1.36188	 1.11632	 1.39205	 2.31950	 1.24845	 1.92007	 3.10475	 0.07573	 0.11153	 0.76565	21.01492	-1345.656781	-1401956.629769	56299.848751
39	 1.36565	 1.07907	 1.44193	 2.32592	 1.27854	 1.97994	 3.27898	 0.07593	 0.11184	 0.78813	21.18745	-1346.021390	-1401896.248280	55874.858218
40	 1.40785	 1.05797	 1.45668	 2.25783	 1.28142	 2.06057	 3.28637	 0.07611	 0.11209	 0.78991	21.47018	-1346.159856	-1401918.945775	55759.089305
