,logPrior,time_stats,num_coal,theta_root,P_Z_M,P_Z_M0
127,-11.069007000000001,14.199806,150,0.001267546,-9818.572011,-10098.023240921604
128,-12.742974,14.570739000000001,150,0.001333115,-9567.999448999999,-9832.836389382139
129,-12.675192,14.644897,150,0.001333115,-9619.528384000001,-9888.463998403116
130,-13.349232999999998,15.199231,150,0.0013381620000000002,-9986.557178000001,-10261.848391301966
131,-14.779182999999998,15.248798,150,0.0013881210000000002,-9633.205568000001,-9894.265348013543
132,-14.075002,15.488385000000001,150,0.0013881210000000002,-9810.185589,-10066.863414032283
133,-15.722714000000002,15.997875,150,0.0013920249999999999,-10138.464931999999,-10401.99844938503
134,-16.130594,16.159873,150,0.0013920249999999999,-10248.259329,-10518.37423286593
135,-17.938812,16.477892,150,0.00150338,-9639.062483,-9881.585547221346
136,-19.720379,16.756941,150,0.0015931410000000002,-9219.129584,-9447.89900230056
137,-20.597867,17.279783,150,0.001659637,-9132.549444,-9347.63909182435
138,-21.767087,17.515403,150,0.001659637,-9270.107204,-9489.609896283398
139,-24.160735,18.01375,150,0.0017312279999999998,-9135.009121,-9347.375654938034
140,-25.747574,18.844419,150,0.001817074,-9123.141619,-9320.198105904708
141,-27.037657,19.330882,150,0.0018590610000000002,-9157.088468,-9351.072083345001
142,-29.359921000000003,19.925296,150,0.001934038,-9072.381734,-9261.238665032852
143,-31.430424,20.365996,150,0.0020596959999999997,-8686.769995,-8856.113396254264
144,-32.262394,20.951448000000003,150,0.0020988129999999997,-8784.956534,-8953.592925097424
145,-36.110023999999996,21.615347,150,0.002208359,-8602.980742,-8766.669985270779
146,-35.787119,22.623859,150,0.002208359,-9058.263807,-9223.349356695444
147,-36.568964,22.966683,150,0.002208359,-9214.020333,-9378.588609009039
148,-35.620212,23.277604999999998,150,0.002208359,-9355.314602,-9519.381840544309
149,-35.013288,23.691753,150,0.0022115779999999996,-9528.082594,-9691.521712442945
150,-35.300538,23.593562,150,0.0022115779999999996,-9489.350751,-9647.123097517313
151,-37.439756,24.10427,150,0.002365129,-9034.937694,-9180.513952888783
152,-40.379412,24.695814000000002,150,0.002433268,-8999.554992,-9142.48707014069
153,-40.637295,24.990544,150,0.0024413209999999998,-9087.232348,-9230.229788057892
154,-42.059065000000004,25.168004999999997,150,0.0024413209999999998,-9158.851474,-9302.920351896075
155,-44.079826000000004,25.82526,150,0.002445522,-9405.928555,-9554.227372816402
156,-45.798052,25.975422000000002,150,0.002597859,-8868.763476,-9001.84831198585
157,-47.824651,26.890953000000003,150,0.002605202,-9186.607468,-9325.513409636065
158,-48.319215,27.082649,150,0.002605202,-9263.576865,-9399.095419783454
159,-49.821412,27.341452,150,0.002770325,-8756.41932,-8882.111653786029
160,-50.586952000000004,27.946426000000002,150,0.002779432,-8941.563701000001,-9067.92718943939
