Sample	theta_A	theta_B	theta_C	theta_ANC	theta_ROOT	tau_ANC	tau_ROOT	m_A->B	m_B->A	m_A->C	m_C->A	m_B->C	m_C->B	Complete-ld-ln-avg	Data-ld-ln	Gene-ld-ln
9320	10.08189	 9.17830	 8.97083	 8.97723	 9.92641	 1.59389	 2.84900	 0.00000	 0.93706	 0.11797	 0.74392	 0.00000	 0.00292	-1353.931273	-2863440.763380	155578.217651
9330	10.70415	 9.42319	 9.45437	 9.54718	10.09688	 1.67920	 2.92407	 0.00001	 0.92388	 0.11462	 0.71061	 0.00000	 0.00317	-1353.937375	-2863379.327678	155504.578268
9340	10.15583	10.38143	 9.67094	 9.59956	10.05427	 1.71317	 2.99333	 0.00001	 0.90250	 0.14513	 0.69758	 0.00000	 0.00583	-1354.225621	-2863532.134368	155080.891372
9350	 9.98506	 9.78533	 9.35277	 9.17563	 9.93951	 1.69776	 2.93441	 0.00004	 0.85741	 0.14781	 0.70564	 0.00000	 0.00516	-1353.922855	-2863503.451497	155657.740736
9360	10.49842	10.17734	 9.87257	 8.70232	10.12615	 1.72411	 2.98825	 0.00003	 0.84431	 0.12813	 0.64039	 0.00000	 0.00471	-1354.484674	-2863573.429787	154604.082756
9370	 9.75793	 9.20761	 9.59849	 8.74394	 9.62460	 1.68712	 2.95146	 0.00018	 0.86301	 0.13097	 0.69803	 0.00000	 0.00668	-1353.686411	-2863314.970195	155942.147490
9380	 9.17752	 9.20369	 9.78393	 9.06107	 9.89218	 1.67073	 2.94703	 0.00020	 0.86821	 0.16612	 0.70224	 0.00000	 0.00603	-1354.228521	-2863478.829396	155021.787014
9390	 9.75141	 9.10870	 9.55139	 8.83953	10.37098	 1.62687	 2.89183	 0.00030	 0.89698	 0.18202	 0.72551	 0.00000	 0.00858	-1353.895631	-2863398.941299	155607.679905
9400	10.69698	 8.95072	 9.39325	 8.74057	10.04033	 1.62096	 2.92442	 0.00087	 0.99529	 0.18168	 0.72413	 0.00000	 0.01295	-1353.437506	-2863324.464909	156449.453807
9410	 9.84485	10.34278	 9.36655	 9.39769	 9.80741	 1.65126	 2.96949	 0.00245	 0.98277	 0.16216	 0.76970	 0.00000	 0.01704	-1353.710216	-2863422.620308	156002.187949
9420	10.27756	10.01177	 9.53384	 9.92172	 9.46719	 1.64529	 2.98328	 0.00353	 0.97032	 0.21623	 0.75995	 0.00000	 0.01906	-1353.399002	-2863468.662240	156670.657640
9430	10.16124	 9.76100	 9.20873	10.30933	 9.57456	 1.62662	 2.95990	 0.00168	 0.97905	 0.22465	 0.76679	 0.00000	 0.01312	-1353.690932	-2863324.818057	155942.954414
9440	10.38465	 9.56956	 9.45951	10.63480	 9.65541	 1.62031	 2.94449	 0.00125	 0.98133	 0.22517	 0.76857	 0.00000	 0.02690	-1353.616397	-2863392.214944	156159.421497
9450	10.35418	 8.97634	 9.50755	10.39363	 9.76616	 1.63760	 2.93856	 0.00077	 0.97020	 0.21089	 0.72088	 0.00000	 0.01985	-1353.752132	-2863453.566806	155949.302728
9460	10.07623	 9.00474	 9.38528	10.84424	10.07102	 1.63883	 2.95285	 0.00212	 0.88975	 0.18667	 0.68698	 0.00000	 0.01880	-1354.281026	-2863517.380295	154955.327821
9470	10.53203	 9.23726	 9.53957	10.80747	10.06304	 1.66818	 3.00041	 0.00238	 0.88504	 0.17567	 0.66070	 0.00000	 0.02221	-1354.144855	-2863456.430046	155166.720040
9480	11.87626	 9.28874	 9.22174	10.45206	 9.52442	 1.63734	 2.95115	 0.00353	 0.90107	 0.21311	 0.71386	 0.00000	 0.01628	-1353.725336	-2863480.882286	156030.210957
9490	11.00074	 9.87776	 9.77436	 9.99310	10.11720	 1.63420	 2.93291	 0.00290	 0.90456	 0.19081	 0.80452	 0.00000	 0.01871	-1353.917711	-2863472.937794	155637.515735
9500	10.02941	 9.59997	 9.65317	 9.54483	10.17765	 1.57246	 2.81403	 0.00242	 0.94378	 0.19908	 0.86325	 0.00000	 0.02033	-1353.941080	-2863322.158615	155439.998816
9510	 9.68314	 9.47879	 9.29956	10.16075	10.15336	 1.60539	 2.86969	 0.00453	 0.92548	 0.19522	 0.87407	 0.00000	 0.01774	-1353.617369	-2863569.753013	156335.014363
9520	 9.08579	 9.36531	 9.24865	11.14163	 9.95602	 1.58987	 2.91714	 0.00220	 0.94649	 0.19712	 0.88260	 0.00000	 0.01142	-1353.819186	-2863453.671338	155815.300301
9530	 9.47894	 8.71001	 9.05645	11.24826	 9.67448	 1.61039	 2.94624	 0.00408	 0.93714	 0.15902	 0.90608	 0.00000	 0.01410	-1353.609471	-2863473.132906	156254.191798
9540	 9.64306	 8.85236	 9.90845	11.93374	 9.80897	 1.62673	 2.92397	 0.00548	 0.88391	 0.14085	 0.90135	 0.00000	 0.01437	-1353.749400	-2863419.948794	155921.147812
9550	 9.53799	 9.31624	 9.18732	10.98403	 9.88646	 1.58940	 2.87300	 0.00403	 0.90467	 0.12870	 0.92253	 0.00000	 0.02505	-1353.471804	-2863351.549526	156407.941136
9560	 9.77432	 8.71936	 9.65858	10.46782	10.30924	 1.62472	 2.94485	 0.00263	 0.88260	 0.10514	 0.90002	 0.00000	 0.02420	-1353.980409	-2863416.221385	155455.403509
9570	 9.65019	 8.52799	 9.33367	10.13964	10.06432	 1.53445	 2.76217	 0.00461	 0.93452	 0.12491	 0.83682	 0.00000	 0.02536	-1353.662807	-2863465.279113	156139.664474
