Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
389	 0.40377	 0.89746	 6.63720	 0.00000	 0.00000	 0.00000	-1212.066705941	-14269.861266475	2149.194207063
390	 0.41661	 0.91647	 6.95674	 0.00000	 0.00000	 0.00000	-1212.465747834	-14266.839543928	2142.182065592
391	 0.39617	 0.96030	 6.97759	 0.00000	 0.00000	 0.00000	-1212.934183038	-14267.243711057	2137.901880679
392	 0.41348	 0.99414	 7.36947	 0.00000	 0.00000	 0.00000	-1211.229571303	-14262.214772035	2149.919059001
393	 0.41787	 1.03361	 7.34673	 0.00000	 0.00000	 0.00000	-1213.292950102	-14263.158343288	2130.228842269
394	 0.40802	 1.00311	 7.10724	 0.00000	 0.00000	 0.00000	-1212.713412400	-14265.800585086	2138.666461087
395	 0.43161	 1.03027	 6.81798	 0.00000	 0.00000	 0.00000	-1215.066117403	-14275.465248349	2124.804074316
396	 0.41487	 1.07177	 7.12889	 0.00000	 0.00000	 0.00000	-1213.149047315	-14275.128611155	2143.638138009
397	 0.39609	 1.02146	 7.10565	 0.00000	 0.00000	 0.00000	-1215.844347140	-14279.998398521	2121.554927117
398	 0.40315	 0.98284	 6.75422	 0.00000	 0.00000	 0.00000	-1216.102141653	-14278.965378501	2117.943961974
399	 0.38411	 0.93453	 7.04553	 0.00000	 0.00000	 0.00000	-1213.461446313	-14279.533744155	2144.919281021
400	 0.37977	 0.90025	 7.29786	 0.00000	 0.00000	 0.00000	-1214.586027351	-14268.067256169	2122.206982655
401	 0.39572	 0.88024	 7.08798	 0.00000	 0.00000	 0.00000	-1211.832426716	-14266.649242765	2148.324975601
402	 0.39099	 0.90922	 7.47540	 0.00000	 0.00000	 0.00000	-1210.324894552	-14266.883540054	2163.634594529
403	 0.41713	 0.94072	 7.28968	 0.00000	 0.00000	 0.00000	-1212.338760521	-14264.578339621	2141.190734413
404	 0.39071	 0.92111	 7.44381	 0.00000	 0.00000	 0.00000	-1213.696415388	-14273.234879424	2136.270725540
405	 0.37546	 0.93842	 7.69109	 0.00000	 0.00000	 0.00000	-1213.342435619	-14278.536455699	2145.112099514
406	 0.38497	 0.95474	 7.97596	 0.00000	 0.00000	 0.00000	-1216.600102743	-14281.119996223	2115.118968789
407	 0.39897	 1.00757	 7.71060	 0.00000	 0.00000	 0.00000	-1218.929832033	-14287.282073310	2097.983752976
408	 0.38323	 0.98654	 7.30439	 0.00000	 0.00000	 0.00000	-1216.456009505	-14274.606433925	2110.046338874
409	 0.40690	 1.01109	 7.62228	 0.00000	 0.00000	 0.00000	-1215.767367666	-14284.604747806	2126.931071150
410	 0.42041	 1.02683	 7.60873	 0.00000	 0.00000	 0.00000	-1213.150113375	-14266.606488570	2135.105354823
411	 0.43488	 0.97181	 7.63379	 0.00000	 0.00000	 0.00000	-1215.610401421	-14272.975904083	2116.871889871
412	 0.41876	 0.94092	 7.37078	 0.00000	 0.00000	 0.00000	-1212.867801823	-14274.598059286	2145.920041058
413	 0.43071	 0.89171	 7.35052	 0.00000	 0.00000	 0.00000	-1213.781251709	-14276.284708303	2138.472191214
414	 0.44795	 0.84483	 7.07112	 0.00000	 0.00000	 0.00000	-1209.164183015	-14269.942945416	2178.301115268
415	 0.45624	 0.87463	 7.05035	 0.00000	 0.00000	 0.00000	-1211.990031832	-14274.518230202	2154.617911886
416	 0.43906	 0.90525	 7.37950	 0.00000	 0.00000	 0.00000	-1212.598620434	-14266.455087763	2140.468883418
