,ref_gene_likelihood,hyp_gene_likelihood,hm_data_likelihood,rbf_ratio
50410,5482.093310306558,5485.154718953157,140092.59083972796,-3.0614086465984656
50412,5426.777478505757,5429.766231813526,140089.13334713306,-2.9887533077690023
50414,5421.080936675211,5420.973062420293,140083.55838450204,0.10787425491798786
50416,5348.914527327435,5348.784092576942,140044.07083748534,0.13043475049289555
50418,5407.141631771536,5409.461502971794,140089.83554527097,-2.3198712002586035
50420,5358.4574381287985,5361.627736096735,140059.80718419884,-3.1702979679366763
50422,5399.261739841508,5403.326765819247,140082.4304238864,-4.065025977739424
50424,5420.995263547975,5423.775566389289,140056.17410051342,-2.780302841314551
50426,5328.834481355182,5335.587032508656,140050.79394198317,-6.752551153474087
50428,5311.165687577973,5313.573136161197,140050.39945477733,-2.4074485832243226
50430,5409.257993885801,5411.4423299576165,140059.81969239106,-2.1843360718157783
50432,5425.536197391697,5428.262948405725,140079.04478968374,-2.7267510140281956
50434,5376.412529821464,5377.485553021342,140073.38977773915,-1.0730231998777526
50436,5391.262054443737,5401.527330076907,140089.59175854048,-10.26527563316995
50438,5420.87133056829,5431.1754505898,140087.06745000675,-10.304120021509334
50440,5438.752300964932,5450.354899124967,140075.19980820786,-11.602598160035086
50442,5392.418541289803,5407.4901366758,140066.3039254091,-15.07159538599717
50444,5463.7563191458685,5477.982253607071,140067.98699964717,-14.225934461202087
50446,5491.924017734215,5501.829769926608,140076.51848442748,-9.905752192392356
50448,5494.235137044164,5500.33600540212,140088.5614943456,-6.100868357955733
50450,5610.005021370143,5620.61193503899,140080.39210414008,-10.606913668846573
50452,5576.799182787451,5594.964402097191,140063.6745632567,-18.16521930973977
50454,5565.166596407094,5574.66340709306,140060.69516082286,-9.496810685966011
50456,5545.520881944292,5567.068536344422,140077.81520112077,-21.54765440012943
50458,5594.890909950862,5616.7735212354755,140091.85514010442,-21.88261128461363
50460,5569.047619141094,5585.436635226858,140087.24153587362,-16.389016085763615
50462,5476.01196539478,5502.568183074558,140072.9261531366,-26.556217679777546
50464,5500.130022166957,5536.737565832591,140070.76902334523,-36.607543665633784
50466,5492.760898013537,5520.315458959724,140080.80948672027,-27.55456094618694
50468,5438.9466212568805,5468.9056465809135,140082.9260545865,-29.959025324033064
50470,5523.6609626819345,5552.559614547004,140064.05280748993,-28.89865186506904
50472,5517.121143519018,5543.770739252069,140100.53144580228,-26.649595733050774
50474,5428.953002553678,5450.664521523518,140058.01487559537,-21.711518969839744
50476,5440.800479732641,5471.070323005202,140050.38826771648,-30.269843272561047
50478,5452.313703769165,5472.941511748823,140070.26154061136,-20.627807979658428
50480,5492.592466964834,5513.433648262112,140059.22828341063,-20.841181297278126
50482,5558.255215240268,5582.414868354416,140085.84665598575,-24.15965311414857
50484,5457.060046310526,5485.601359374761,140084.69653200379,-28.54131306423551
50486,5488.441733195215,5523.725893121739,140076.5532475197,-35.2841599265239
50488,5539.245476953853,5572.483634221457,140054.11412488157,-33.23815726760404
50490,5549.790585516112,5581.015673364306,140055.09049727343,-31.225087848194562
50492,5484.183464133046,5507.3001097887445,140048.6351208486,-23.11664565569845
50494,5483.617157851006,5510.976018397632,140074.02605820107,-27.3588605466266
50496,5618.66681157532,5655.558980579402,140063.33889548614,-36.89216900408155
50498,5649.832650103585,5670.235077917254,140047.85491431216,-20.40242781366851
50500,5526.855915258155,5554.901453551167,140080.71144730976,-28.045538293012214
50502,5558.440615645229,5573.873288869073,140044.86285948113,-15.432673223844176
50504,5524.157150099078,5544.353002731829,140056.84148440545,-20.195852632751667
50506,5561.751198143724,5575.983824473341,140079.7977934129,-14.232626329617233
50508,5553.075492906963,5563.595640993881,140059.2869127357,-10.520148086918198
50510,5573.195719687316,5581.921274040155,140054.09969275584,-8.725554352839026
50512,5558.3529648338,5576.561390900751,140049.0370792066,-18.20842606695078
50514,5555.4888641268335,5562.815928871481,140059.88022236113,-7.3270647446479416
50516,5537.47386963137,5541.901808265247,140062.86305104484,-4.427938633877602
50518,5528.38666870622,5532.225590455377,140046.9357582295,-3.838921749156725
50520,5559.3862730453875,5560.6726139628445,140070.22593242582,-1.2863409174569824
50522,5578.860041856257,5587.013334351272,140053.30081760063,-8.153292495014284
50524,5546.893725352598,5556.008870577556,140061.2960084998,-9.115145224957814
50526,5547.310644560062,5553.786794864981,140067.43296401962,-6.476150304918519
50528,5451.849190180681,5464.391874302381,140082.10853461002,-12.542684121700404
50530,5442.49202644619,5452.70096921289,140070.7666388011,-10.208942766700602
50532,5480.649618020835,5489.5701199478635,140068.9270417937,-8.920501927028454
50534,5497.536291926179,5515.761136952207,140081.00329700173,-18.22484502602856
50536,5448.888699585925,5463.506551283559,140073.75703130593,-14.61785169763425
50538,5552.823469005458,5571.3816382984805,140060.2903622965,-18.55816929302273
50540,5532.088822974856,5553.601477074176,140056.8012664445,-21.51265409931966
50542,5496.83401982186,5512.184232195227,140057.1422013854,-15.350212373366958
50544,5393.759876050373,5422.11123364314,140085.73901527305,-28.351357592766362
50546,5504.383325943287,5529.357877033238,140056.60021749872,-24.974551089951092
50548,5454.069903897975,5476.297709585456,140067.54434833163,-22.227805687481123
50550,5510.101406412687,5532.064287898887,140073.8327383682,-21.962881486200786
50552,5531.524611023162,5552.344620020392,140084.6915139472,-20.820008997229706
50554,5544.844444530385,5574.882866695699,140077.75829866866,-30.038422165313932
50556,5569.215022080691,5597.352090235277,140047.02363547214,-28.137068154585904
50558,5527.4228741251845,5553.463142377703,140061.34402614707,-26.040268252518217
50560,5468.349442174193,5494.989688037195,140070.71494390958,-26.640245863001837
50562,5446.509761915757,5475.996488750387,140076.43902732074,-29.486726834629735
50564,5589.760966394262,5610.613326643798,140059.53806077468,-20.852360249536105
50566,5520.158757875179,5534.551558770559,140074.28187781584,-14.392800895379878
50568,5507.494422005745,5534.055696982657,140038.1454737066,-26.56127497691159
50570,5587.649776599443,5608.361665645178,140039.7137606261,-20.711889045735006
50572,5534.896234154332,5557.529878597648,140069.524272588,-22.63364444331637
50574,5495.912602848552,5515.833213399338,140070.4258706168,-19.920610550786478
50576,5544.437353416779,5565.44600819415,140063.90212015997,-21.008654777370793
50578,5501.336522399404,5524.631294963123,140054.76235965375,-23.294772563718652
50580,5375.086551607283,5391.916459137717,140085.37435212688,-16.829907530433957
50582,5366.741296190696,5378.514119982488,140079.21986384812,-11.772823791792689
