Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
163	14.36714	28.12465	 1.20671	9725.20965	 0.00000	 0.00000	-15784.659053	-143198.323990	-14648.266544
164	14.76206	29.50616	 1.12618	9689.44455	 0.00000	 0.00000	-15721.001456	-143002.294519	-14207.720040
165	14.70183	29.38577	 1.15850	9649.90953	 0.00000	 0.00000	-15725.514619	-142840.534390	-14414.611799
166	14.70183	29.38577	 1.10582	9649.91942	 0.00000	 0.00000	-15719.677916	-142505.135259	-14691.643903
167	15.10162	29.29373	 1.05810	9619.69936	 0.00000	 0.00000	-15689.023385	-142299.316006	-14590.917841
168	15.03703	29.16843	 1.02127	9578.54721	 0.00000	 0.00000	-15692.543438	-142110.790655	-14814.643728
169	14.99703	29.09085	 1.01856	9553.08266	 0.00000	 0.00000	-15694.251180	-141944.926495	-14997.585306
170	15.01083	29.11762	 0.97349	9561.87655	 0.00000	 0.00000	-15692.065601	-141757.181259	-15163.474747
171	15.01083	30.58025	 0.94486	9561.86969	 0.00000	 0.00000	-15652.221193	-141593.400732	-14928.811200
172	15.01083	30.58025	 0.97290	9561.86426	 0.00000	 0.00000	-15652.273436	-141509.274187	-15013.460175
173	15.73055	30.58025	 0.94136	9561.85913	 0.00000	 0.00000	-15608.655259	-141450.544249	-14636.008339
174	16.25753	31.41592	 0.95497	9531.97315	 0.00000	 0.00000	-15553.354925	-141262.177476	-14271.371774
175	16.19853	33.28071	 0.97061	9497.37332	 0.00000	 0.00000	-15509.766789	-140902.979019	-14194.688868
176	16.81425	33.28071	 1.00782	9497.36354	 0.00000	 0.00000	-15473.530303	-140666.615627	-14068.687401
177	17.63635	33.28071	 0.95857	9497.35196	 0.00000	 0.00000	-15427.273591	-140379.739986	-13892.995921
178	18.02462	33.18117	 0.91095	9468.95907	 0.00000	 0.00000	-15407.940020	-140223.349788	-13856.050410
179	18.02462	34.16874	 0.95485	9468.97116	 0.00000	 0.00000	-15387.570513	-140026.163960	-13849.541172
180	17.95668	36.00416	 0.92834	9433.29092	 0.00000	 0.00000	-15352.042080	-139982.591558	-13537.829242
181	17.95668	36.00416	 0.90139	9433.29935	 0.00000	 0.00000	-15349.841130	-139863.034035	-13635.377262
182	18.51990	37.09918	 0.86455	9396.74136	 0.00000	 0.00000	-15298.415851	-139614.426216	-13369.732299
183	18.87687	37.09918	 0.84320	9396.75626	 0.00000	 0.00000	-15279.248427	-139419.736318	-13372.747955
184	19.60449	36.97467	 0.81507	9365.23304	 0.00000	 0.00000	-15242.626314	-139176.778025	-13249.485119
185	20.44759	38.44375	 0.81422	9339.29188	 0.00000	 0.00000	-15176.963213	-138852.635132	-12916.996995
186	20.39003	40.21943	 0.79239	9312.99604	 0.00000	 0.00000	-15147.261118	-138633.715076	-12838.896104
187	20.39003	42.06717	 0.76438	9312.98902	 0.00000	 0.00000	-15111.503960	-138331.217626	-12783.821976
188	21.14702	41.91841	 0.74485	9280.04280	 0.00000	 0.00000	-15079.074699	-138072.319013	-12718.427972
189	21.14702	41.91841	 0.78907	9280.02872	 0.00000	 0.00000	-15071.393484	-137609.938148	-13103.996693
190	21.46188	41.71833	 0.74799	9235.72595	 0.00000	 0.00000	-15056.119908	-137525.594854	-13035.604226
191	21.46188	41.71833	 0.72284	9235.71902	 0.00000	 0.00000	-15055.849505	-137390.310657	-13168.184388
192	21.40410	43.24393	 0.71508	9210.86147	 0.00000	 0.00000	-15028.174266	-137053.257719	-13228.484945
193	22.04251	44.88371	 0.74638	9210.85046	 0.00000	 0.00000	-14978.750393	-136947.443539	-12840.060392
194	22.01680	45.85077	 0.77814	9200.10209	 0.00000	 0.00000	-14960.350417	-136666.999374	-12936.504800
195	22.57579	45.69801	 0.80201	9169.46437	 0.00000	 0.00000	-14937.707548	-136616.130071	-12760.945413
196	22.76541	48.01435	 0.78420	9159.01782	 0.00000	 0.00000	-14895.954020	-136442.650064	-12516.890138
197	22.71400	47.90592	 0.83004	9138.34632	 0.00000	 0.00000	-14894.917888	-136214.143004	-12735.035874
198	23.15442	49.22680	 0.85452	9124.80579	 0.00000	 0.00000	-14860.671821	-136204.772234	-12401.945973
199	23.76781	51.52347	 0.83165	9124.79898	 0.00000	 0.00000	-14812.715796	-136094.513094	-12032.644868
200	23.71484	52.35025	 0.86877	9104.45674	 0.00000	 0.00000	-14800.781359	-135910.005546	-12097.808041
