Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
2575	 0.26484	 2.71044	 9.72943	 0.00000	-1327.642683285	-14271.660991808	995.234158960
2576	 0.25936	 2.80202	 9.69495	 0.00000	-1326.558254814	-14273.519950406	1007.937402268
2577	 0.27112	 2.75504	10.24526	 0.00000	-1328.349069957	-14273.674709596	990.184010024
2578	 0.25653	 2.81511	 9.68504	 0.00000	-1327.561307938	-14264.256901037	988.643821662
2579	 0.26871	 2.87507	 8.95365	 0.00000	-1327.407812789	-14266.635344960	992.557217065
2580	 0.25680	 2.74994	 8.98455	 0.00000	-1327.799439948	-14263.881083869	985.886684386
2581	 0.23903	 2.67616	 8.53112	 0.00000	-1327.073207659	-14261.057185249	990.325108659
2582	 0.22939	 2.57949	 8.51694	 0.00000	-1325.286543096	-14267.630436686	1014.765005728
2583	 0.23925	 2.43787	 8.89121	 0.00000	-1325.605174982	-14260.762567874	1004.710818054
2584	 0.23112	 2.55922	 8.92840	 0.00000	-1327.284828063	-14270.935558582	998.087277952
2585	 0.23901	 2.51929	 8.94455	 0.00000	-1327.355484990	-14273.136603650	999.581753751
2586	 0.25332	 2.47218	 9.43864	 0.00000	-1328.771980314	-14266.492341937	978.772538794
2587	 0.26529	 2.57137	 9.99306	 0.00000	-1326.821704871	-14260.124884267	991.907835561
2588	 0.26214	 2.54949	10.45167	 0.00000	-1326.604810116	-14255.236499863	989.188398705
2589	 0.27566	 2.57696	10.64842	 0.00000	-1327.375689861	-14251.415696755	977.658798148
2590	 0.28171	 2.62682	10.24118	 0.00000	-1327.494298809	-14260.949685272	986.006697181
2591	 0.28683	 2.67632	 9.72329	 0.00000	-1328.301824935	-14272.253426829	989.235177478
2592	 0.29551	 2.81892	 9.99375	 0.00000	-1328.957227766	-14268.527978585	978.955700921
2593	 0.30815	 2.73272	 9.39458	 0.00000	-1327.630959209	-14261.748575407	985.438983316
2594	 0.32275	 2.83843	 9.74910	 0.00000	-1327.409884727	-14260.280069306	986.181222037
2595	 0.33204	 2.61668	 9.23506	 0.00000	-1326.986105174	-14256.910837020	987.049785281
2596	 0.32397	 2.55503	 8.98347	 0.00000	-1325.166390205	-14259.944060546	1008.280158501
2597	 0.34490	 2.55838	 9.33853	 0.00000	-1327.976448288	-14260.354611653	980.590128773
2598	 0.34192	 2.68931	 9.58286	 0.00000	-1328.121344241	-14259.555775898	978.342333487
2599	 0.33410	 2.83020	10.04521	 0.00000	-1327.316370088	-14264.385214446	991.221513567
2600	 0.35332	 2.88637	10.52300	 0.00000	-1328.163779655	-14261.962479057	980.324682511
2601	 0.33879	 3.03472	11.07949	 0.00000	-1329.882898065	-14258.705945868	959.876965218
2602	 0.32868	 3.15799	10.65663	 0.00000	-1331.210407161	-14266.614071677	954.510000064
2603	 0.31490	 2.96227	10.63923	 0.00000	-1328.715133180	-14261.331275021	974.179943218
2604	 0.32590	 3.11117	10.81381	 0.00000	-1331.001803911	-14262.607109965	952.589070860
2605	 0.33783	 3.04760	10.16428	 0.00000	-1329.992406801	-14261.050579824	961.126511816
2606	 0.35696	 2.91788	 9.57884	 0.00000	-1326.819886070	-14261.415130122	993.216269426
2607	 0.37133	 3.07958	 9.19057	 0.00000	-1328.263263574	-14264.725198784	982.092563044
2608	 0.35541	 2.93473	 8.57901	 0.00000	-1326.549567761	-14261.018735161	995.523057552
2609	 0.33617	 3.08149	 8.86139	 0.00000	-1327.552060830	-14264.264915008	988.744306709
2610	 0.36065	 3.23052	 8.89527	 0.00000	-1328.116199694	-14257.768672307	976.606675368
2611	 0.38202	 3.11599	 9.15323	 0.00000	-1327.223110131	-14256.583325920	984.352224614
2612	 0.38720	 3.12999	 9.37027	 0.00000	-1328.211902041	-14263.549722823	981.430702418
2613	 0.36735	 2.99814	 9.69140	 0.00000	-1327.077391078	-14266.216666829	995.442756051
2614	 0.34948	 3.13047	 9.81333	 0.00000	-1328.337960730	-14264.096241120	980.716633816
2615	 0.32911	 2.99851	10.29886	 0.00000	-1328.706332783	-14265.319990688	978.256662861
2616	 0.32042	 2.84630	 9.96542	 0.00000	-1328.223462171	-14265.810974654	983.576352945
2617	 0.32866	 2.90913	 9.50144	 0.00000	-1327.838564655	-14265.784625106	987.398978551
2618	 0.31655	 2.97645	 9.86941	 0.00000	-1328.140078940	-14268.306576784	986.905787381
2619	 0.32947	 3.13335	 9.41438	 0.00000	-1328.058365600	-14264.424068340	983.840412342
2620	 0.34420	 3.29289	 9.05666	 0.00000	-1324.398321813	-14252.616657596	1008.633439466
