Sample	theta_A	theta_B	theta_C	theta_AB	theta_root	tau_AB	tau_root	m_C->A	Complete-ld-ln-avg	Data-ld-ln	Gene-ld-ln
2000	 7.64423	 9.03478	10.57487	12.75255	 9.60477	 1.13495	 3.20789	477.35335	-1348.749579	-2864449.424433	166950.265560
2001	 7.61356	 8.99852	10.53244	12.70137	 9.56622	 1.13040	 3.21534	486.36465	-1348.707296	-2864560.996399	167146.404911
2002	 7.80452	 9.49301	10.55842	12.73270	 9.58982	 1.13319	 3.22327	494.24173	-1348.792520	-2864536.947210	166951.907477
2003	 7.78248	 9.79076	10.18921	12.69675	 9.23677	 1.12999	 3.23221	500.65936	-1348.809317	-2864510.558322	166891.925016
2004	 7.79753	 9.80969	10.20890	13.09268	 9.25462	 1.13217	 3.25486	490.84048	-1348.590904	-2864452.410942	167270.602623
2005	 7.83306	10.04658	10.25543	12.62224	 9.29680	 1.13733	 3.26970	479.34892	-1348.633759	-2864502.337701	167234.819959
2006	 7.57884	10.02993	10.23842	12.60131	 9.28139	 1.13545	 3.23402	490.39776	-1348.445370	-2864577.052330	167686.311592
2007	 7.78508	10.02993	10.23842	12.64844	 9.28139	 1.13545	 3.23402	490.39776	-1348.588907	-2864399.801507	167221.988174
2008	 8.00748	 9.97816	10.18558	12.58317	 9.23349	 1.12959	 3.24524	486.71191	-1348.662144	-2864474.398579	167150.110284
2009	 7.97762	 9.94096	10.14761	12.53625	 9.19906	 1.12537	 3.23313	488.53348	-1348.644512	-2864474.792308	167185.769064
2010	 7.96273	 9.62646	10.12866	13.07947	 9.18189	 1.12327	 3.22710	489.44702	-1348.393746	-2864498.807697	167711.314851
2011	 7.97804	 9.45900	10.14814	13.10462	 9.19954	 1.12543	 3.20819	498.66518	-1348.568904	-2864509.596090	167371.787533
2012	 7.95008	 9.19799	10.16252	13.12318	 9.21258	 1.12703	 3.21274	487.02023	-1348.658096	-2864496.950722	167180.757980
2013	 7.95920	 9.20855	10.17419	12.75110	 9.61591	 1.12832	 3.21643	498.10245	-1348.694402	-2864406.400159	167017.596644
2014	 7.98770	 9.86513	10.42905	12.79676	 9.65034	 1.13236	 3.26692	490.60664	-1348.923504	-2864471.229772	166624.222008
