Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
77	 0.93482	 1.76911	 0.87535	 4.67469	 2.18973	 3.47834	 4.40127	 0.07763	 0.09404	 0.99437	-1348.608878618	-1401779.390268534	53170.511650954
78	 0.97027	 1.76460	 0.83348	 4.85271	 2.12868	 3.46948	 4.39005	 0.07743	 0.09380	 0.98007	-1348.390373360	-1401783.043265945	53392.669905818
79	 0.97256	 1.73068	 0.85584	 4.86417	 2.05144	 3.56112	 4.40042	 0.07762	 0.09403	 0.98239	-1348.490084316	-1401780.529126915	53290.444811201
80	 1.00914	 1.64337	 0.85380	 4.85256	 1.95380	 3.75984	 4.38992	 0.07743	 0.09380	 0.99478	-1348.850614147	-1401741.185309301	52890.571162297
81	 1.05971	 1.58792	 0.84899	 4.70830	 1.88885	 3.77098	 4.61318	 0.07766	 0.09408	 0.99773	-1348.808390669	-1401776.839793210	52968.449123823
82	 1.07976	 1.60294	 0.87099	 4.72540	 1.98177	 3.98386	 4.43957	 0.07794	 0.09442	 1.00135	-1349.023305836	-1401838.604459599	52815.298623286
83	 1.03910	 1.54677	 0.81532	 4.85290	 1.92450	 3.98570	 4.44162	 0.07798	 0.09446	 1.00181	-1348.951936577	-1401811.544413760	52859.607836621
84	 0.99641	 1.60228	 0.81792	 4.93961	 2.02117	 3.99842	 4.45580	 0.07823	 0.09477	 1.01499	-1349.104706035	-1401806.313546457	52701.607511773
85	 0.99993	 1.68322	 0.80106	 4.77706	 1.98745	 4.01257	 4.47156	 0.07850	 0.09510	 1.01858	-1349.088035620	-1401838.084912915	52750.049293308
86	 0.98193	 1.64022	 0.80370	 4.79278	 1.99399	 4.02577	 4.48627	 0.07512	 0.09541	 0.99293	-1348.955748561	-1401784.634475609	52828.885914311
87	 0.97884	 1.68763	 0.84115	 4.96433	 1.85731	 4.01309	 4.47214	 0.07489	 0.09511	 0.97526	-1348.936736058	-1401781.734100878	52844.998043314
88	 1.04346	 1.73335	 0.86816	 5.02465	 1.94485	 3.83793	 4.48210	 0.07814	 0.09533	 0.95207	-1348.943022100	-1401796.085641614	52853.063541759
89	 0.99595	 1.68551	 0.84099	 5.29020	 1.93917	 3.77105	 4.32040	 0.07791	 0.09505	 0.94929	-1348.922497668	-1401815.756809360	52893.259141508
90	 1.05025	 1.59546	 0.81073	 5.26938	 1.86540	 3.75621	 4.50172	 0.07760	 0.09467	 0.94556	-1348.911605824	-1401813.729548069	52902.123723888
91	 1.00149	 1.66611	 0.78550	 5.42841	 1.75445	 3.74092	 4.48339	 0.07728	 0.09429	 0.95241	-1348.960066090	-1401785.287663883	52825.221573596
92	 0.97483	 1.62492	 0.78341	 5.41398	 1.82368	 3.73098	 4.47148	 0.07708	 0.09404	 0.94988	-1348.822982283	-1401764.520395285	52941.538111932
93	 0.97746	 1.55527	 0.74689	 5.65787	 1.80399	 3.74105	 4.77326	 0.07729	 0.09429	 0.95244	-1348.902356950	-1401797.770950098	52895.414000474
94	 1.00288	 1.61929	 0.71189	 5.51919	 1.72471	 3.72605	 4.75411	 0.07698	 0.09391	 0.94862	-1348.793440157	-1401747.891985286	52954.451827853
95	 0.99992	 1.56137	 0.73555	 5.50286	 1.77629	 3.79447	 4.74004	 0.07675	 0.09364	 0.96573	-1349.130648569	-1401815.264379990	52684.615811095
96	 0.96079	 1.61327	 0.73421	 5.76306	 1.68897	 3.78761	 4.73147	 0.07661	 0.09347	 0.96398	-1348.982152050	-1401815.385826010	52833.233775944
97	 0.96324	 1.57128	 0.75696	 5.95773	 1.60901	 3.67685	 4.65170	 0.07681	 0.09370	 0.96644	-1348.943827865	-1401816.763389452	52872.935524084
98	 0.92925	 1.62123	 0.79030	 6.39557	 1.67640	 3.69443	 4.52280	 0.07717	 0.09415	 0.97106	-1348.709736938	-1401798.013774215	53088.276836147
99	 0.97048	 1.62571	 0.79248	 6.56892	 1.71965	 3.70463	 4.41280	 0.07739	 0.09441	 0.97374	-1348.713404783	-1401784.036571423	53070.631788258
100	 0.93395	 1.62150	 0.81332	 6.55191	 1.62350	 3.58223	 4.40137	 0.08064	 0.09970	 0.97122	-1348.719169935	-1401785.118770005	53065.948835341
101	 0.98667	 1.67176	 0.81451	 6.25211	 1.63691	 3.58747	 4.50940	 0.08076	 0.09984	 0.99228	-1348.774623981	-1401781.397940711	53006.773959545
102	 0.98931	 1.76635	 0.86295	 6.26885	 1.58092	 3.49201	 4.52147	 0.08098	 0.10011	 0.97348	-1348.560955217	-1401804.818425624	53243.863208170
103	 1.01142	 1.68388	 0.86628	 6.54633	 1.54105	 3.50546	 4.39795	 0.08129	 0.10050	 0.97723	-1348.702757774	-1401832.449572125	53129.691798372
104	 0.98497	 1.75866	 0.90058	 6.82557	 1.50527	 3.49874	 4.38952	 0.08113	 0.10030	 0.97536	-1348.548579793	-1401773.180569380	53224.600776878
105	 1.04192	 1.75866	 0.91792	 7.11091	 1.59223	 3.49874	 4.38952	 0.08113	 0.10030	 0.97536	-1348.539586942	-1401733.375669153	53193.788727615
106	 1.06880	 1.86027	 0.96635	 6.93967	 1.60059	 3.50964	 4.40437	 0.08141	 0.10064	 0.97866	-1348.753547155	-1401773.390514914	53019.843360196
107	 1.11985	 1.83114	 0.94156	 6.63555	 1.59444	 3.65835	 4.54563	 0.08110	 0.10026	 0.98936	-1348.935669381	-1401802.807691461	52867.138310489
108	 1.16640	 1.83861	 0.96727	 6.85915	 1.66515	 3.57955	 4.56417	 0.08143	 0.10067	 0.99339	-1348.966952610	-1401803.939515860	52836.986906163
109	 1.20926	 1.91982	 0.98822	 6.53053	 1.60514	 3.80421	 4.66522	 0.08128	 0.10048	 0.99154	-1349.063165757	-1401811.393922705	52748.228165226
110	 1.16578	 1.91378	 1.00191	 6.64047	 1.66116	 3.98088	 4.65053	 0.08102	 0.10016	 0.98842	-1349.301896483	-1401840.876485222	52538.980002169
111	 1.16334	 1.81519	 0.99982	 6.84875	 1.56808	 3.97256	 4.64082	 0.08085	 0.09995	 0.95559	-1349.199288386	-1401824.355291689	52625.066905574
