Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
571	 0.77041	 2.45002	1118.17031	 0.00000	-9286.735323196	-92011.723547731	-855.629684226
572	 0.73393	 2.52109	1134.08561	 0.00000	-9284.818581700	-92015.933912793	-832.251904208
573	 0.69877	 2.64781	1162.94452	 0.00000	-9282.257443787	-92010.354805635	-812.219632239
574	 0.67605	 2.76901	1147.72774	 0.00000	-9283.440743983	-92001.756654550	-832.650785284
575	 0.64387	 2.94937	1089.14098	 0.00000	-9289.170964785	-92017.811007248	-873.898640600
576	 0.60930	 2.85892	1158.70831	 0.00000	-9282.998101948	-92015.626304457	-814.354715025
577	 0.58879	 2.87495	1098.86825	 0.00000	-9288.411097652	-92012.916646288	-871.194330233
578	 0.56452	 2.74231	1102.11676	 0.00000	-9288.876030481	-92027.837716571	-860.922588242
579	 0.58436	 2.89714	1133.81397	 0.00000	-9285.771808187	-92037.714760825	-820.003321044
580	 0.59834	 3.03975	1112.66257	 0.00000	-9288.230494437	-92044.258290092	-838.046654283
581	 0.58678	 2.87958	1115.57235	 0.00000	-9288.244902949	-92042.863452254	-839.585577233
582	 0.57005	 3.04190	1119.46943	 0.00000	-9287.428487069	-92036.303012771	-837.981857920
583	 0.55445	 3.13989	1116.63290	 0.00000	-9288.377494537	-92047.847690180	-835.927255194
584	 0.53573	 3.22241	1114.48667	 0.00000	-9288.412298677	-92043.790477641	-840.332509133
585	 0.50933	 3.13368	1093.15534	 0.00000	-9290.293855674	-92033.915453704	-869.023103037
586	 0.48512	 3.25490	1092.70543	 0.00000	-9289.332493926	-92035.180131274	-858.144807986
587	 0.50053	 3.38708	1135.29828	 0.00000	-9285.343806094	-92027.538400860	-825.899660079
588	 0.50316	 3.16698	1158.24244	 0.00000	-9283.587527253	-92023.817611839	-812.057660693
589	 0.51257	 3.27544	1156.51146	 0.00000	-9284.306773339	-92035.052424169	-808.015309216
590	 0.49206	 3.45366	1159.70468	 0.00000	-9283.907789660	-92028.248128627	-810.829767973
591	 0.46417	 3.25566	1157.77995	 0.00000	-9283.868636353	-92022.350960897	-816.335402632
592	 0.46548	 3.11388	1161.07103	 0.00000	-9283.873039500	-92022.587773519	-816.142621477
593	 0.48032	 3.20673	1162.15914	 0.00000	-9283.787098778	-92019.247843650	-818.623144130
594	 0.45777	 3.36811	1167.01140	 0.00000	-9283.383022512	-92019.205156072	-814.625069044
595	 0.42945	 3.27125	1129.37884	 0.00000	-9287.284607531	-92026.749139266	-846.096936048
596	 0.44580	 3.36091	1129.37884	 0.00000	-9286.089869973	-92015.825199762	-845.073499964
597	 0.45968	 3.25591	1128.17926	 0.00000	-9284.933152003	-91995.447713870	-853.883806155
598	 0.43898	 3.24426	1124.14248	 0.00000	-9285.671607950	-91999.453851296	-857.262228202
599	 0.43343	 3.29280	1120.96085	 0.00000	-9286.709544848	-92015.592351104	-851.503097373
600	 0.41143	 3.45012	1117.98568	 0.00000	-9286.509368323	-92017.044776679	-848.048906552
601	 0.40213	 3.57322	1114.92373	 0.00000	-9287.576069572	-92030.456855514	-845.303840204
602	 0.41865	 3.80592	1118.76065	 0.00000	-9286.864335325	-92020.867124390	-847.776228862
603	 0.41795	 3.62844	1116.89702	 0.00000	-9287.540492007	-92018.150993583	-857.253926485
604	 0.42157	 3.77157	1134.69331	 0.00000	-9286.132450956	-92024.780724939	-836.543784619
605	 0.42771	 3.94220	1139.55813	 0.00000	-9284.628512912	-92001.605860545	-844.679268574
606	 0.44419	 3.76162	1141.72855	 0.00000	-9285.958625708	-92023.516204692	-836.070052391
607	 0.46833	 3.60175	1137.14259	 0.00000	-9285.464356306	-92016.796160566	-837.847402490
608	 0.47147	 3.80645	1091.02022	 0.00000	-9289.091136018	-92009.453811932	-881.457548249
